MC,NC,KC,GFLOPS
32,32,16,1042.32
32,32,32,1314.42
32,32,48,1122.79
32,32,64,1446.36
32,32,80,1433.99
32,32,96,1122.37
32,32,112,1521.58
32,32,128,1536.9
32,32,144,1191.84
32,32,160,1553.96
32,32,176,1556.65
32,32,192,1161.72
32,32,208,1567.16
32,32,224,1577.48
32,32,240,1124.49
32,32,256,1582.42
32,32,272,1453.28
32,32,288,1217.15
32,32,304,1577.06
32,32,320,1550.84
32,32,336,1130.68
32,32,352,1594.54
32,32,368,1171.67
32,32,384,1121.69
32,32,400,1247.11
32,32,416,1134.09
32,32,432,1562.09
32,32,448,1588.46
32,32,464,1344.33
32,32,480,1209.97
32,32,496,1218.41
32,32,512,1607.34
32,32,528,1561.73
32,32,544,1279.84
32,32,560,1607.2
32,32,576,1275.78
32,32,592,1256.18
32,32,608,1611.8
32,32,624,1613.84
32,32,640,1040.98
32,32,656,1617.01
32,32,672,1588.46
32,32,688,1291.6
32,32,704,1615.57
32,32,720,1602.68
32,32,736,1259.19
32,32,752,1619.14
32,32,768,1605.29
32,32,784,1182.43
32,32,800,1612.26
32,32,816,1619.17
32,32,832,1182.29
32,32,848,1615.26
32,32,864,1611.68
32,32,880,1105.09
32,32,896,1622.41
32,32,912,1609.47
32,32,928,1200.67
32,32,944,1622.2
32,32,960,1624.4
32,32,976,1586.7
32,32,992,1220.72
32,32,1008,1516.46
64,64,16,720.872
64,64,32,1271.1
64,64,48,1396.09
64,64,64,1223.64
64,64,80,1504.11
64,64,96,1501.21
64,64,112,1171.95
64,64,128,1575.75
64,64,144,1565.03
64,64,160,1307.12
64,64,176,1611.27
64,64,192,1415.55
64,64,208,1285.16
64,64,224,1621.58
64,64,240,1539.57
64,64,256,1244.83
64,64,272,1639.59
64,64,288,1625.74
64,64,304,1127.83
64,64,320,1618.81
64,64,336,1515.22
64,64,352,1273.0
64,64,368,1650.58
64,64,384,1611.79
64,64,400,1127.43
64,64,416,1657.84
64,64,432,1655.3
64,64,448,1132.82
64,64,464,1665.07
64,64,480,1653.27
64,64,496,1180.48
64,64,512,1654.54
64,64,528,1371.61
64,64,544,1289.13
64,64,560,1673.77
64,64,576,1664.16
64,64,592,1211.29
64,64,608,1667.94
64,64,624,1664.99
64,64,640,1126.68
64,64,656,1675.88
64,64,672,1657.76
64,64,688,1119.43
64,64,704,1683.91
64,64,720,1680.44
64,64,736,1240.1
64,64,752,1661.13
64,64,768,1650.73
64,64,784,1266.91
64,64,800,1678.35
64,64,816,1328.23
64,64,832,1133.08
64,64,848,1679.58
64,64,864,1648.46
64,64,880,1268.21
64,64,896,1684.55
64,64,912,1605.13
64,64,928,1302.8
64,64,944,1683.31
64,64,960,1534.91
64,64,976,1317.53
64,64,992,1678.37
64,64,1008,1560.39
96,96,16,926.802
96,96,32,1336.84
96,96,48,1421.92
96,96,64,1236.77
96,96,80,1548.74
96,96,96,1554.51
96,96,112,1242.1
96,96,128,1598.92
96,96,144,1283.65
96,96,160,1291.34
96,96,176,1610.9
96,96,192,1647.74
96,96,208,1251.99
96,96,224,1623.29
96,96,240,1308.59
96,96,256,1086.73
96,96,272,1633.3
96,96,288,1293.34
96,96,304,1199.13
96,96,320,1655.16
96,96,336,1643.87
96,96,352,1289.84
96,96,368,1672.64
96,96,384,1637.61
96,96,400,1087.12
96,96,416,1658.49
96,96,432,1615.9
96,96,448,1331.73
96,96,464,1659.82
96,96,480,1618.41
96,96,496,1207.57
96,96,512,1646.05
96,96,528,1652.67
96,96,544,1279.0
96,96,560,1690.02
96,96,576,1645.49
96,96,592,1096.0
96,96,608,1688.96
96,96,624,1404.0
96,96,640,1166.74
96,96,656,1663.05
96,96,672,1577.85
96,96,688,1111.8
96,96,704,1657.48
96,96,720,1662.4
96,96,736,1239.37
96,96,752,1675.56
96,96,768,1549.28
96,96,784,1386.09
96,96,800,1668.04
96,96,816,1673.29
96,96,832,1331.41
96,96,848,1221.9
96,96,864,1645.86
96,96,880,1128.87
96,96,896,1674.0
96,96,912,1654.79
96,96,928,1257.98
96,96,944,1666.23
96,96,960,1677.35
96,96,976,1129.22
96,96,992,1682.51
96,96,1008,1514.79
128,128,16,955.694
128,128,32,1372.62
128,128,48,1301.48
128,128,64,1188.31
128,128,80,1528.11
128,128,96,1504.38
128,128,112,1140.47
128,128,128,1577.76
128,128,144,1560.29
128,128,160,1062.8
128,128,176,1610.72
128,128,192,1603.5
128,128,208,1171.27
128,128,224,1644.04
128,128,240,1626.1
128,128,256,1323.23
128,128,272,1634.69
128,128,288,1656.07
128,128,304,1298.78
128,128,320,1612.83
128,128,336,1621.08
128,128,352,1060.09
128,128,368,1655.23
128,128,384,1602.87
128,128,400,1106.85
128,128,416,1630.6
128,128,432,1631.68
128,128,448,1193.29
128,128,464,1650.88
128,128,480,1643.76
128,128,496,1133.18
128,128,512,1671.82
128,128,528,1623.27
128,128,544,1121.12
128,128,560,1667.55
128,128,576,1652.78
128,128,592,1257.34
128,128,608,1655.67
128,128,624,1599.02
128,128,640,1118.44
128,128,656,1664.68
128,128,672,1648.41
128,128,688,1101.7
128,128,704,1676.09
128,128,720,1491.98
128,128,736,1120.42
128,128,752,1657.46
128,128,768,1658.37
128,128,784,1142.28
128,128,800,1672.32
128,128,816,1639.87
128,128,832,1109.65
128,128,848,1678.63
128,128,864,1676.05
128,128,880,1105.02
128,128,896,1636.97
128,128,912,1656.34
128,128,928,1135.23
128,128,944,1678.82
128,128,960,1299.27
128,128,976,1234.08
128,128,992,1672.36
128,128,1008,1632.81
160,160,16,872.219
160,160,32,1376.13
160,160,48,1253.1
160,160,64,1264.02
160,160,80,1523.85
160,160,96,1187.69
160,160,112,1260.44
160,160,128,1570.77
160,160,144,1149.97
160,160,160,1370.22
160,160,176,1144.04
160,160,192,1612.4
160,160,208,1246.26
160,160,224,1179.98
160,160,240,1601.67
160,160,256,1467.32
160,160,272,1114.11
160,160,288,1631.48
160,160,304,1589.26
160,160,320,1112.58
160,160,336,1620.76
160,160,352,1610.89
160,160,368,1287.38
160,160,384,1645.59
160,160,400,1605.63
160,160,416,1116.98
160,160,432,1606.15
160,160,448,1608.49
160,160,464,1112.2
160,160,480,1633.81
160,160,496,1613.5
160,160,512,1140.78
160,160,528,1646.77
160,160,544,1675.46
160,160,560,1522.84
160,160,576,1639.57
160,160,592,1623.6
160,160,608,1086.05
160,160,624,1633.52
160,160,640,1628.37
160,160,656,1294.57
160,160,672,1663.69
160,160,688,1624.8
160,160,704,936.757
160,160,720,1646.79
160,160,736,1570.72
160,160,752,1373.78
